Sample_No,Sample_date,SourceNo,Rep,SingleSamp,Town,arsenic,fluoride,manganese,nitrate,nitrite,uranium,Latitude,Longitude
D010546001,12-Mar-08,87,a,Y,Sullivan,1.7,1.9,0.12,0.005,0.01,0.81,,
E006356001,24-Feb-09,89,a,Y,Sullivan,8.7,0.7,0.00025,1.1,0.025,20,,
D038881001,02-Sep-08,78,a,Y,Sullivan,2.5,0.4,0.0012,0.01,0.025,4.7,44.50633898,-68.15006562
D050624001,21-Jan-09,73,a,Y,Sullivan,2.8,2.3,0.00054,0.01,0.025,14,44.53790292,-68.24065785
E004303001,30-Jan-09,46,a,,Sullivan,97,,0.0048,,,3.7,,
E007150001,01-Apr-09,48,a,,Sullivan,0.1,,0.0058,,,,,
E023076001,09-Jun-09,68,a,Y,Sullivan,0.1,0.1,0.0024,0.1,0.025,0.67,44.51258502,-68.16029538
E029973001,07-Jul-09,49,a,Y,Sullivan,16,0.1,0.015,0.58,,0.25,,
B003852001,02-Feb-06,1,b,,Sullivan,5.9,0.96,0.02,0.14,,1.2,,
B007993001,07-Mar-06,15,b,,Sullivan,5.4,0.31,0.0005,,,9.2,,
B009810001,11-May-06,53,b,,Sullivan,8.3,0.26,0.00025,0.5,0.005,3.3,,
B009811001,19-Apr-06,54,b,,Sullivan,16,0.21,0.0024,0.05,0.005,0.7,,
B009813001,19-Apr-06,51,b,,Sullivan,2,0.1,0.0013,0.67,0.005,0.25,,
B009816001,19-Apr-06,52,b,,Sullivan,1.9,,0.00025,0.25,,,,
C001476001,06-Mar-07,29,b,,Sullivan,130,,0.021,,0.005,,,
D052924001,24-Nov-08,46,b,,Sullivan,96,,0.013,,,,,
E004295001,12-Feb-09,48,b,,Sullivan,0.5,,0.001,2.1,0.025,3.6,,
E007162001,01-Apr-09,21,b,,Sullivan,1.4,,0.014,,,,,
B023505001,30-Jan-07,29,c,,Sullivan,120,0.4,0.024,,,,,
D018399001,06-May-08,21,c,,Sullivan,1.1,0.2,0.86,2.5,,,,
E004300001,24-Mar-09,46,c,,Sullivan,74,,0.0036,,,,,
B014149001,16-Aug-06,29,d,,Sullivan,30,,0.0032,2.1,,4.9,,
E004294001,12-Feb-09,46,d,,Sullivan,73,0.2,0.0016,1.9,0.025,4.5,,
B039895001,11-Dec-06,29,e,,Sullivan,130,,0.052,,,5,,
A020623001,21-Sep-05,7,a,Y,Sumner,1,0.1,0.013,0.1,0.005,0.8,,
B006969001,27-Feb-06,5,a,Y,Sumner,0.1,0.1,0.015,0.72,0.005,0.25,,
B013714001,14-May-06,8,a,Y,Sumner,5.4,0.24,0.0006,0.5,0.005,0.25,44.36717746,-70.46160523
B027370001,15-Aug-06,4,a,Y,Sumner,0.1,0.1,0.0064,0.5,0.005,0.25,44.37321846,-70.42569135
B039283001,11-Dec-06,9,a,Y,Sumner,6.2,0.1,0.01,0.5,0.005,3.9,,
C015687001,21-May-07,3,a,Y,Sumner,8.1,0.63,0.0038,0.5,0.005,3.4,44.37118874,-70.38641362
D042346001,17-Sep-08,10,a,,Sumner,0.1,,,,0.025,,,
D027453001,24-Jun-08,11,a,Y,Sumner,0.1,0.3,0.021,0.005,0.025,0.25,44.34530132,-70.38663114
E016422001,04-May-09,6,a,,Sumner,0.79,,0.013,0.025,0.025,,44.40603023,-70.43698749
E013903001,09-Jun-09,2,a,Y,Sumner,0.52,0.1,0.065,0.18,0.025,,,
E026962001,16-Jun-09,1,a,Y,Sumner,1.9,0.7,0.043,0.025,,,,
B013831001,25-Apr-06,10,b,,Sumner,0.1,0.1,0.0033,0.05,,0.25,44.40058364,-70.45340419
C034750001,20-Aug-07,6,b,,Sumner,0.83,1.1,,,,0.25,44.40603023,-70.43698749
A004844001,31-May-05,11,a,Y,Surry,3.5,4.3,0.013,0.05,0.005,0.25,44.50053025,-68.50649799
A028180001,30-Nov-05,76,a,Y,Surry,90,2.8,0.0012,0.05,0.005,0.25,44.48880111,-68.50497086
A021499001,12-Oct-05,51,a,Y,Surry,91,6.4,0.16,0.05,0.005,0.25,44.46552748,-68.48926076
A026855001,06-Feb-06,33,a,Y,Surry,210,1.83,0.26,0.05,0.005,24,44.47571811,-68.49798312
A010390001,06-Jul-05,5,a,Y,Surry,3.9,2.2,0.24,0.05,0.005,3,44.53439718,-68.53333131
A010681001,11-Jul-05,106,a,Y,Surry,2,0.79,0.0008,0.32,0.005,3.3,,
A012692001,06-Jul-05,46,a,Y,Surry,0.1,0.1,0.0049,0.05,0.005,0.25,,
A012959001,05-Aug-05,55,a,,Surry,0.1,,,,,,44.51557172,-68.51569559
A014767001,27-Jul-05,113,a,Y,Surry,3,0.54,0.0011,0.05,0.005,0.25,,
A017766001,23-Aug-05,80,a,Y,Surry,0.8,,,,,,44.48272042,-68.47141801
B001872001,11-Jan-06,16,a,Y,Surry,5.3,0.87,0.21,0.05,0.005,0.25,,
B010376001,05-Apr-06,89,a,Y,Surry,110,1.72,0.2,0.05,0.005,0.25,44.49133689,-68.50419329
B004731001,06-Feb-06,61,a,Y,Surry,0.1,,,,,,44.46108984,-68.48690447
B020324001,14-Jun-06,50,a,Y,Surry,0.5,0.1,0.0055,1,0.005,0.25,44.51789642,-68.5168693
B016753001,10-May-06,85,a,,Surry,28,0.23,0.16,0.5,0.005,1.1,44.4542122,-68.46567352
B019728001,08-Aug-06,32,a,Y,Surry,0.1,0.1,0.0085,0.5,0.005,0.25,44.5007545,-68.50802824
B039406001,04-Dec-06,3,a,Y,Surry,0.1,0.1,0.021,0.5,0.005,0.25,44.45821166,-68.48407502
B032645001,26-Sep-06,8,a,Y,Surry,2.6,,,,,,44.42506173,-68.46407087
B024589001,18-Jul-06,14,a,Y,Surry,11,1.21,0.53,0.5,0.005,1,44.4200331,-68.47595141
B025516001,25-Jul-06,52,a,,Surry,7.4,0.38,0.12,,0.005,,44.38869819,-68.46500897
B025841001,25-Jul-06,99,a,Y,Surry,3.7,0.1,0.062,0.5,0.005,0.25,,
B027438001,07-Aug-06,86,a,,Surry,53,2.2,0.39,0.5,0.005,0.25,,
B027740001,07-Aug-06,79,a,Y,Surry,6.6,0.54,0.051,0.5,0.005,2,44.49382639,-68.45110358
B024876001,07-Aug-06,120,a,,Surry,160,,,,,,,
B024878001,07-Aug-06,121,a,,Surry,44,,,,,,,
B032613001,25-Sep-06,57,a,Y,Surry,2.2,2.3,0.0031,0.5,0.005,24,44.52216521,-68.61295405
C021804001,19-Jun-07,87,a,Y,Surry,0.7,0.2,0.0041,0.18,0.005,0.25,,
C018607001,22-May-07,91,a,Y,Surry,6.8,0.1,0.00053,0.5,0.005,0.25,44.49483047,-68.47324226
C004554001,22-Feb-07,95,a,Y,Surry,0.93,0.1,0.0028,0.5,0.005,0.25,,
C004914001,21-Feb-07,43,a,Y,Surry,0.1,0.1,0.0014,1.3,0.005,0.81,44.52427669,-68.51873434
C009333001,05-Jun-07,59,a,,Surry,7.7,,,,,,,
C010908001,07-May-07,2,a,Y,Surry,13,0.85,0.059,0.5,0.005,0.25,,
C004490001,06-Feb-07,71,a,Y,Surry,0.1,,,,,,44.45351757,-68.48790199
C013748001,16-Apr-07,10,a,Y,Surry,5.9,4.2,0.00025,0.5,0.005,33,44.51843139,-68.61709932
C016548001,05-Nov-07,26,a,Y,Surry,47,6.9,0.018,0.005,0.005,16,,
C037299001,21-Aug-07,40,a,Y,Surry,0.1,0.4,0.015,0.1,0.005,0.25,44.52594997,-68.6121247
C030722001,16-Jul-07,100,a,Y,Surry,14,1.3,0.0018,0.005,0.005,0.25,,
C033966001,24-Jul-07,22,a,Y,Surry,480,,,,,0.79,44.47972521,-68.50109957
C035045001,06-Aug-07,30,a,Y,Surry,0.1,0.1,0.00025,0.04,0.005,0.25,44.49040592,-68.46561632
C036766001,15-Aug-07,74,a,,Surry,30,3.9,0.0064,0.005,0.005,42,44.52606437,-68.52374874
C037768001,30-Aug-07,42,a,Y,Surry,47,0.8,0.1,,0.005,0.25,44.48753808,-68.47642174
C042253001,18-Sep-07,15,a,Y,Surry,27,1.4,0.042,0.04,0.005,0.25,44.42237897,-68.47728167
C054984001,04-Feb-08,110,a,Y,Surry,6.4,0.7,0.18,0.005,0.005,0.25,,
C048999001,09-Oct-07,83,a,Y,Surry,5,0.4,0.024,0.02,0.005,7.7,44.49349189,-68.45461527
C049344001,27-Nov-07,98,a,Y,Surry,4.7,0.1,0.0089,0.01,0.005,0.25,,
C051372001,05-Nov-07,4,a,Y,Surry,9.8,1.3,0.25,0.005,0.005,0.6,44.42096635,-68.47610829
C052892001,05-Nov-07,12,a,Y,Surry,110,0.9,0.017,0.52,0.005,0.25,44.48454352,-68.5030481
C053189001,07-Nov-07,97,a,Y,Surry,4.8,0.4,0.018,0.41,0.005,6.3,,
D018172001,28-Apr-08,23,a,,Surry,2.8,,,,,,44.47936808,-68.5008322
D002228001,28-Jan-08,77,a,Y,Surry,150,,,,,,44.44838901,-68.49046482
D006801001,21-Apr-08,35,a,Y,Surry,3.6,1.8,0.0035,0.06,0.01,0.93,44.45439096,-68.46274343
D010324001,10-Mar-08,102,a,Y,Surry,63,2.3,0.13,0.005,0.01,0.25,,
D017605001,21-Apr-08,54,a,Y,Surry,1.8,1.4,0.058,0.005,0.025,17,44.51850371,-68.52228635
D034102001,30-Jul-08,66,a,Y,Surry,30,2,0.29,0.005,0.025,12,44.50004234,-68.55918955
D042354001,22-Sep-08,109,a,Y,Surry,0.1,0.1,0.017,0.76,0.025,0.25,,
D023271001,03-Jun-08,1,a,Y,Surry,1.2,1,0.079,0.005,0.025,0.25,44.40462346,-68.47209114
D023865001,09-Jun-08,84,a,Y,Surry,2.4,0.2,0.001,2.5,0.025,0.25,44.49750937,-68.503091
D041237001,08-Sep-08,75,a,Y,Surry,1.1,0.5,0.0024,0.17,0.025,0.25,44.45591869,-68.48002393
D024986001,18-Jun-08,9,a,Y,Surry,0.94,0.4,0.0042,0.01,0.025,0.25,44.4570807,-68.47427544
D023262001,03-Jun-08,104,a,Y,Surry,4.6,,,,,,,
D023264001,09-Jun-08,41,a,Y,Surry,28,,,,,,44.49195837,-68.50846724
D023266001,02-Jun-08,48,a,Y,Surry,190,,,,,,44.47075199,-68.52759556
D023272001,17-Jun-08,118,a,Y,Surry,7.4,,,,,,,
D023280001,01-Jun-08,34,a,Y,Surry,150,,,,,,44.47674328,-68.52194768
D023284001,16-Jun-08,108,a,Y,Surry,660,,,,,,,
D023287001,11-Jun-08,103,a,Y,Surry,1,,,,,,,
D023288001,04-Jun-08,44,a,Y,Surry,0.1,,,,,,44.47367655,-68.52487146
D023289001,09-Jun-08,53,a,Y,Surry,130,,,,,,44.46770109,-68.53186226
D023293001,02-Jun-08,47,a,Y,Surry,72,,,,,,44.47859698,-68.51937082
D023298001,03-Jun-08,115,a,Y,Surry,250,,,,,,,
D023299001,09-Jun-08,114,a,Y,Surry,140,,,,,,,
D025711001,18-Jun-08,68,a,Y,Surry,51,,,,,,,
D025713001,01-Jul-08,20,a,Y,Surry,1,,,,,,44.48085332,-68.5019442
D025717001,17-Jun-08,7,a,Y,Surry,130,,,,,,44.48570592,-68.50325013
D025718001,18-Jun-08,13,a,Y,Surry,100,,,,,,44.48413122,-68.50337557
D025719001,01-Jul-08,18,a,Y,Surry,0.1,,,,,,44.48274053,-68.50282678
D025722001,15-Jul-08,19,a,,Surry,300,,,,,,44.48177654,-68.50252401
D025724001,22-Jun-08,21,a,Y,Surry,0.53,,,,,,44.48085332,-68.5019442
D025725001,17-Jun-08,29,a,Y,Surry,3.8,,,,,,44.49162843,-68.50629527
D025727001,17-Jun-08,107,a,Y,Surry,440,,,,,,,
D025728001,21-Jul-08,112,a,Y,Surry,5.9,,,,,,,
D025729001,23-Jun-08,24,a,,Surry,190,,,,,,44.47864323,-68.50072437
D025730001,22-Jun-08,25,a,Y,Surry,12,,,,,,44.47865382,-68.50029745
D025731001,23-Jul-08,27,a,Y,Surry,290,,,,,,44.4782967,-68.50003008
D025732001,24-Jun-08,31,a,Y,Surry,120,,,,,,44.47686261,-68.49936066
D025736001,23-Jun-08,101,a,Y,Surry,580,,,,,,,
D025737001,18-Jun-08,37,a,Y,Surry,290,,,,,,44.47309842,-68.49558347
D025738001,18-Jun-08,38,a,Y,Surry,150,,,,,,44.4728362,-68.49580417
D025740001,23-Jul-08,105,a,Y,Surry,130,,,,,,,
D025743001,18-Jun-08,49,a,Y,Surry,74,,,,,,44.46844527,-68.49163857
D025746001,08-Jul-08,56,a,Y,Surry,240,,,,,,44.46299827,-68.4877395
D025748001,18-Jun-08,60,a,Y,Surry,11,,,,,,44.46098714,-68.48725976
D025749001,23-Jun-08,62,a,Y,Surry,84,,,,,,44.46047813,-68.48694394
D025750001,08-Jul-08,63,a,Y,Surry,11,,,,,,44.46048548,-68.48651647
D025751001,30-Jun-08,64,a,Y,Surry,45,,,,,,44.4597722,-68.48634334
D025752001,23-Jun-08,65,a,Y,Surry,4,,,,,,44.45920482,-68.48580264
D025753001,10-Aug-08,67,a,Y,Surry,10,,,,,,44.45730983,-68.48556186
D025755001,23-Sep-08,69,a,Y,Surry,1.5,,,,,,44.45559417,-68.48704202
D025758001,23-Jun-08,119,a,Y,Surry,3.3,,,,,,,
D025761001,30-Jun-08,72,a,Y,Surry,280,,,,,,44.45285348,-68.48803744
D025765001,17-Jun-08,73,a,Y,Surry,170,,,,,,44.45175455,-68.48791984
D025766001,17-Jun-08,78,a,Y,Surry,0.1,,,,,,44.45893886,-68.4662967
D025767001,19-Nov-08,82,a,Y,Surry,70,,,,,,44.48845378,-68.50473259
D030439001,07-Jul-08,45,a,,Surry,2.2,0.2,0.0044,0.04,0.025,1.5,44.47037495,-68.49319516
E002425001,04-Feb-09,88,a,Y,Surry,9.8,0.6,0.0088,0.005,0.025,1,44.4531219,-68.46533504
D031909001,27-Aug-08,111,a,Y,Surry,41,3.9,0.0019,0.005,0.025,31,,
D032594001,21-Jul-08,6,a,Y,Surry,14,1.3,0.059,,0.025,0.25,44.42078592,-68.47218532
D034259001,18-Aug-08,58,a,Y,Surry,57,3.9,0.075,0.005,0.025,1.9,44.47374432,-68.47323643
D037295001,17-Sep-08,116,a,Y,Surry,110,,,,,,,
D044168001,24-Sep-08,70,a,,Surry,0.1,0.1,0.098,0.005,0.025,0.25,44.45497193,-68.48743007
D039696001,08-Sep-08,96,a,,Surry,14,,,,,,,
D044831001,14-Jan-09,17,a,,Surry,2.2,1.2,,0.23,0.025,11,44.53199825,-68.61500098
D051500001,23-Mar-09,117,a,Y,Surry,0.78,1.1,0.016,0.005,0.025,0.63,,
E004733001,11-Feb-09,28,a,Y,Surry,0.1,,,,,,44.49051488,-68.5045581
E025209001,08-Jun-09,94,a,Y,Surry,0.82,0.1,0.019,0.1,,0.25,,
E022645001,27-May-09,36,a,Y,Surry,5.3,0.1,0.0053,0.08,0.025,4.1,44.49027603,-68.45857694
E023496001,09-Jun-09,92,a,Y,Surry,57,2.8,0.0006,0.1,0.04,0.25,,
E024142001,02-Jun-09,93,a,Y,Surry,24,3.2,0.00025,0.025,0.11,64,,
E024451001,09-Jun-09,81,a,Y,Surry,0.1,0.2,0.003,0.7,0.19,0.25,,
E029173001,22-Jun-09,39,a,Y,Surry,0.1,0.05,0.011,0.12,,0.25,44.4907169,-68.46204462
A015855001,16-Nov-05,55,b,,Surry,1,0.1,0.031,1.43,0.005,1.5,44.51557172,-68.51569559
B025515001,25-Jul-06,52,b,,Surry,0.1,,,0.5,,0.25,44.38869819,-68.46500897
B014891001,28-Feb-07,59,b,,Surry,11,1.36,0.027,0.5,0.005,24,,
B021548001,28-Jun-06,86,b,,Surry,52,,,,,,44.45840433,-68.48437514
B024876002,07-Aug-06,120,b,,Surry,150,,,,,,,
B024878002,07-Aug-06,121,b,,Surry,42,,,,,,,
C018842001,14-May-07,85,b,,Surry,28,,,,,,44.4542122,-68.46567352
C047545001,04-Oct-07,23,b,,Surry,170,1,0.48,0.005,0.005,8,44.47936808,-68.5008322
C052199001,30-Oct-07,96,b,,Surry,17,0.8,0.031,0.36,0.005,1,,
D005045001,29-Jan-08,74,b,,Surry,8.2,,,,,,44.52606437,-68.52374874
D034162001,05-Aug-08,19,b,,Surry,290,1.6,0.13,0.04,0.025,0.25,44.48166674,-68.50245977
D043015001,21-Oct-08,17,b,,Surry,0.57,,0.0021,,,,44.53199825,-68.61500098
D025741001,25-Jun-08,45,b,,Surry,110,,,,,,44.47037495,-68.49319516
D026980001,20-Jun-08,70,b,,Surry,12,,,,,,44.45497193,-68.48743007
D056810001,09-Dec-08,24,b,,Surry,0.88,,,,,,,
C018636001,11-May-07,55,c,,Surry,0.1,0.1,0.19,3.8,0.005,0.25,,
D057139001,06-Jan-09,23,c,,Surry,4.2,0.2,0.00025,0.02,0.025,2.5,,
B024876003,07-Aug-06,120,c,,Surry,150,,,,,,,
B024878003,07-Aug-06,121,c,,Surry,3.8,,,,,,,
B024876004,07-Aug-06,120,d,,Surry,150,,,,,,,
B024878004,07-Aug-06,121,d,,Surry,4.1,,,,,,,
B024876005,07-Aug-06,120,e,,Surry,0.1,,,,,,,
B024878005,07-Aug-06,121,e,,Surry,0.1,,,,,,,
B024876006,07-Aug-06,120,f,,Surry,0.1,,,,,,,
B024878006,07-Aug-06,121,f,,Surry,0.1,,,,,,,
A003558001,31-May-05,8,a,Y,Swans Island,0.1,0.1,0.19,0.05,0.005,1.6,,
A014635001,26-Jul-05,7,a,,Swans Island,1.1,,0.47,0.05,0.005,0.25,44.15574603,-68.3864142
A013483001,19-Jul-05,1,a,Y,Swans Island,0.1,1.52,0.72,0.19,0.005,6.7,,
A013081001,11-Jul-05,3,a,,Swans Island,0.5,,0.11,1.17,,,,
A015938001,29-Jul-05,12,a,Y,Swans Island,0.5,0.1,0.16,0.05,0.005,0.7,,
A017163001,16-Aug-05,5,a,Y,Swans Island,0.1,0.1,0.019,0.62,0.005,0.25,,
B018237001,06-Jun-06,4,a,Y,Swans Island,1.9,0.1,0.0013,1,0.005,0.6,44.16972096,-68.41130589
B018238001,06-Jun-06,9,a,Y,Swans Island,5,2.6,0.22,0.5,0.005,2.4,,
B028661001,07-Aug-07,6,a,Y,Swans Island,0.83,0.1,0.55,0.005,0.005,0.25,,
B027798001,07-Aug-06,2,a,Y,Swans Island,0.1,0.87,0.01,0.5,0.005,0.7,,
B030632001,12-Sep-06,11,a,Y,Swans Island,0.1,,,,,,,
C032715001,25-Jul-07,13,a,Y,Swans Island,0.1,1.2,0.71,0.01,0.005,6.3,,
C034785001,06-Aug-07,10,a,Y,Swans Island,0.1,3.6,0.0033,0.14,0.005,0.25,,
D032285001,22-Jul-08,14,a,Y,Swans Island,1.1,2.6,0.41,0.005,0.025,10,,
D032286001,22-Jul-08,15,a,Y,Swans Island,0.1,1.2,0.56,0.005,0.025,3.5,,
D032288001,22-Jul-08,18,a,,Swans Island,0.1,0.6,0.047,0.01,0.025,1.5,,
D032289001,22-Jul-08,16,a,Y,Swans Island,0.66,0.7,0.04,0.04,0.025,6.1,,
D032290001,22-Jul-08,17,a,Y,Swans Island,0.5,1,0.78,0.005,0.025,3.1,,
A013082001,11-Jul-05,3,b,,Swans Island,0.1,0.1,,,0.005,0.9,,
A013112001,12-Jul-05,18,b,,Swans Island,0.1,,0.062,0.05,0.005,,44.15445415,-68.45118192
B003514001,30-Jan-06,7,b,,Swans Island,1.1,,,,,,44.15574603,-68.3864142
B003515001,30-Jan-06,7,c,,Swans Island,1.2,,,,,,44.15574603,-68.3864142
B006159001,13-Feb-06,7,a,Y,Swanville,0.1,0.84,0.0093,0.51,0.005,22,44.52203909,-69.0025839
A026313001,09-Nov-05,19,a,Y,Swanville,3.6,0.2,0.002,0.05,0.005,16,,
A027130001,16-Nov-05,14,a,Y,Swanville,0.5,1.68,0.033,0.05,0.005,56,,
B002305001,10-Jan-06,8,a,Y,Swanville,50,0.42,0.0057,0.82,0.005,50,,
B010330001,03-Apr-06,4,a,Y,Swanville,2.2,1.78,1.2,0.77,0.005,56,44.52210553,-69.0021989
B035002001,04-Oct-06,18,a,Y,Swanville,0.1,0.1,0.086,0.5,0.005,1.8,,
B029379001,28-Aug-06,9,a,Y,Swanville,1.3,1.23,0.00025,0.5,0.005,14,44.52035914,-69.00586997
B037080001,20-Nov-06,12,a,,Swanville,52,1.51,0.0074,0.5,0.005,240,44.52378843,-68.99543552
B035770001,16-Oct-06,15,a,Y,Swanville,7.1,,,,,,44.52035892,-69.01987825
B039909001,12-Dec-06,2,a,,Swanville,8.9,,,,,1800,44.53235816,-68.98194627
C003211001,29-Jan-07,13,a,Y,Swanville,24,1.8,0.0037,0.5,0.005,140,44.5236698,-68.99508965
C006694001,25-Jun-07,11,a,Y,Swanville,26,1.5,0.00025,0.07,0.005,130,44.52498707,-68.99420685
D007963001,04-Mar-08,6,a,Y,Swanville,0.1,0.4,0.044,0.005,0.01,1,44.56675136,-68.99725952
D007968001,25-Feb-08,16,a,Y,Swanville,6.5,2.6,0.011,0.14,0.01,120,44.5189157,-68.99919998
D013012001,07-Apr-08,17,a,,Swanville,0.1,0.1,0.17,1.3,0.025,0.25,,
D020423001,30-Jun-08,1,a,Y,Swanville,1.2,0.1,0.02,0.01,0.025,2.3,,
D031680001,15-Jul-08,5,a,Y,Swanville,0.1,0.3,0.00025,0.13,0.025,2.9,44.56648602,-69.00618949
E021074001,11-May-09,3,a,Y,Swanville,0.1,0.05,0.04,0.025,0.025,0.25,44.5489052,-69.01530868
E020399001,04-May-09,10,a,,Swanville,0.98,,,,,0.81,44.53990997,-69.04185806
A009065001,16-Jun-05,2,b,,Swanville,0.7,0.23,0.12,,,38,44.53235816,-68.98194627
D005751001,04-Feb-08,10,b,,Swanville,28,,0.17,,,210,44.53990997,-69.04185806
C000616001,08-Jan-07,12,b,,Swanville,0.1,,,,,0.25,44.52378843,-68.99543552
D013014001,07-Jul-08,17,b,,Swanville,2.3,,,,,,,
B039908001,12-Dec-06,2,c,,Swanville,2.1,,,4.7,0.005,,44.53235816,-68.98194627
D005750001,04-Feb-08,10,c,,Swanville,0.1,0.1,0.00025,1.5,0.005,0.25,44.53990997,-69.04185806
A003669001,10-May-05,5,a,,Sweden,0.1,0.1,,0.05,,,44.11901161,-70.74306412
A016291001,01-Aug-05,3,a,Y,Sweden,0.1,,2.6,0.05,0.005,0.25,44.12293512,-70.88107275
C019632001,06-Sep-07,2,a,Y,Sweden,0.1,,,,,,,
C031218001,23-Jul-07,1,a,Y,Sweden,0.1,0.3,0.048,0.03,0.005,35,,
C036099001,08-Aug-07,4,a,Y,Sweden,0.1,,,,,,,
C055595001,04-Dec-07,6,a,Y,Sweden,0.1,1.5,0.0027,0.005,0.005,510,44.14737662,-70.8136162
D038996001,28-Aug-08,5,b,,Sweden,0.1,,0.0094,,0.025,0.25,44.11901161,-70.74306412
A005274001,23-May-05,1,a,Y,T1 R9 WELS,0.1,0.29,0.00025,0.05,0.005,0.25,,
C018428001,14-May-07,2,a,Y,T1 R9 WELS,8.9,,,,,,,
C020244001,21-May-07,1,a,Y,T10 SD,0.1,0.1,0.0094,2,0.005,1.9,,
D038683001,03-Nov-08,1,a,Y,T11 R14 WELS,0.1,0.05,0.013,0.13,0.025,0.25,,
C008883001,14-Mar-07,1,a,Y,T17 R4 WELS,0.1,0.1,0.00088,0.5,0.005,0.25,,
B016716001,15-May-06,1,a,,T17 R5 WELS,0.7,,,0.5,,,,
D021476001,19-May-08,1,b,,T17 R5 WELS,0.72,0.1,0.28,,0.025,0.67,,
B021557001,26-Jun-06,1,a,Y,T2 R10 WELS,0.1,2.1,0.0066,0.5,0.005,25,,
B005425001,20-Feb-06,1,a,Y,T2 R13 WELS,1,0.1,0.12,0.05,0.005,0.25,,
D040754001,03-Sep-08,1,a,Y,T25 MD BPP,13,,,,,,,
E023583001,16-Jun-09,1,a,Y,T28 MD,27,3,0.014,0.025,0.05,15,,
B021228001,01-Dec-06,1,a,Y,T31 MD BPP,0.1,0.1,0.0016,0.5,0.005,0.25,,
A030256001,07-Feb-06,1,a,Y,T32 MD,0.1,0.35,0.0072,0.05,0.005,0.5,,
C039031001,12-Sep-07,1,a,Y,T40 MD,1.7,0.7,0.14,0.08,0.005,9,,
E022380001,02-Jun-09,1,a,Y,T6 R8 WELS,3,0.1,0.025,0.025,0.025,0.25,,
C053922001,26-Nov-07,1,a,Y,T7 R14 WELS,2.2,0.1,0.039,0.02,0.005,0.25,,
D051458001,18-Nov-08,1,a,Y,T9 R9 WELS,4,0.2,0.066,0.005,0.025,0.73,,
A014867001,01-Aug-05,5,a,Y,Temple,0.1,,,,,,,
B036990001,13-Nov-06,4,a,Y,Temple,0.58,0.56,0.072,0.5,0.005,0.25,44.6633046,-70.24566895
C053632001,26-Nov-07,3,a,Y,Temple,0.53,,,,,,,
E016078001,14-Apr-09,1,a,Y,Temple,0.1,0.05,0.0044,0.025,0.025,0.25,,
D051937001,05-Nov-08,2,a,Y,Temple,0.1,0.6,0.044,0.005,0.025,0.25,44.71530633,-70.24935691
A003524001,06-Jun-05,2,a,Y,The Forks Plt,2.2,0.1,0.0094,0.24,0.005,0.25,,
C004879001,14-Feb-07,1,a,Y,The Forks Plt,0.1,0.1,0.0033,1.7,0.005,0.25,,
A029441001,26-Jan-06,9,a,Y,Thomaston,1.8,0.66,0.26,0.05,0.005,0.25,,
A029442001,26-Jan-06,5,a,Y,Thomaston,6.3,0.2,0.072,0.05,0.005,0.25,,
A029444001,26-Jan-06,6,a,Y,Thomaston,0.8,0.45,0.045,0.1,0.005,0.6,,
A029448001,26-Jan-06,7,a,Y,Thomaston,4.6,0.25,0.093,0.05,0.005,0.25,,
A029449001,26-Jan-06,8,a,Y,Thomaston,8.6,0.2,0.052,0.05,0.005,0.25,,
B040542001,18-Dec-06,4,a,Y,Thomaston,0.1,0.1,0.002,3.7,0.005,0.25,44.06483182,-69.19843109
B040956001,02-Jan-07,3,a,Y,Thomaston,93,0.39,0.11,0.5,0.005,0.25,,
B027273001,14-Jun-07,10,a,,Thomaston,20,,,,,,,
C015693001,30-Apr-07,1,a,,Thomaston,0.1,0.32,0.00062,0.5,,,,
C036018001,15-Aug-07,2,a,Y,Thomaston,5.1,0.4,0.037,0.005,0.005,0.6,44.09340014,-69.18004874
B027273002,14-Jun-07,10,b,,Thomaston,19,,,,,,,
E006283001,11-May-09,1,b,,Thomaston,0.1,0.3,,,0.025,0.25,,
B027273003,14-Jun-07,10,c,,Thomaston,19,,,,,,,
B027273004,14-Jun-07,10,d,,Thomaston,19,,,,,,,
B027273005,14-Jun-07,10,e,,Thomaston,17,,,,,,,
B027273006,14-Jun-07,10,f,,Thomaston,18,,,,,,,
B019270001,07-Jun-06,5,a,Y,Thorndike,0.9,0.29,0.22,0.5,0.005,1.6,44.55882246,-69.27103631
B025476001,31-Jul-06,11,a,Y,Thorndike,0.5,0.21,0.081,0.5,0.005,1.1,,
B028431001,18-Aug-06,3,a,Y,Thorndike,0.1,0.1,0.0017,25,0.005,4.6,44.56855152,-69.23747784
C023918001,19-Jun-07,6,a,Y,Thorndike,0.1,0.34,0.00025,0.005,0.005,0.25,44.56258886,-69.21374486
B036641001,03-Aug-07,2,a,Y,Thorndike,0.1,0.05,0.017,0.34,0.005,0.66,,
C002728001,22-Jan-07,1,a,Y,Thorndike,12,0.26,0.087,0.5,0.005,2.8,44.57138646,-69.28059992
C006701001,26-Feb-07,9,a,Y,Thorndike,1.9,0.1,0.00025,1.2,0.005,0.25,,
D012071001,24-Mar-08,12,a,Y,Thorndike,0.1,0.05,0.00025,1.4,0.025,0.25,,
C048553001,09-Oct-07,8,a,Y,Thorndike,0.1,,,,,,,
D007128001,07-Feb-08,13,a,,Thorndike,0.6,0.3,0.042,0.005,0.01,,,
